"","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes"
"53",134,"Irani","RANI3",208274.47148,"ON",354.26579199,-53.730929265,-9.6241615502,1.7734930769,90497,NA,736.94611857,2.6319736666,NA,0.81304772932,NA,13.877091273,0.17241545505,0.12699172206,52387
"54",275,"Wlm Ind Com","WLMM3",213685.9051,"ON",NA,31.602881001,19.989553396,41.772875781,128513,637.53630589,0.67180705368,-68.056684727,34.605295516,2.6548441196,NA,25.076282353,1.8931821415,NA,23324
"55",19,"Bardella","BDLL4",214384,"PN",-89.48386262,6.052810001,1.9219624838,4.7685340087,75688,575.32400208,21.997230159,132.16670894,98.343145771,25.550824411,NA,312.15234953,3.8623733343,-0.57868522598,27562
"56",225,"Schulz","SHUL4",216843.37,"PN",500.90731497,-10.575974645,-2.8579481152,19.656418619,160433,-437.40740464,266.98489486,32.820591168,180.01101187,1.7701555338,0.70477809356,14.760433278,0.15054686419,0.19780199212,7770
"57",247,"Telebras","TELB4",220471.38883,"PN",5.2450425414,NA,-7.4980832518,-15.483936096,0,-406.20423892,0,5.2814602384,59.344046612,43.564274999,0.32762543374,0,18.836929811,0.0028014166972,257447
"58",26,"Bombril","BOBR4",224369.75,"PN",-50.843373494,NA,1.4713127652,16.552473282,321632,100.36113,-15.429477216,75.023823137,-18.613832354,2.7125979037,0.57077752329,0,18.276665479,-0.057333962454,0
"59",199,"Plascar Part","PLAS3",233002,"ON",-89.251089543,5.6055174883,2.4763985769,5.6407240847,113572,123.4273814,63.688343106,21.017056845,114.51538214,58.68543855,0.15423556036,17.378361364,13.671036211,-0.16881666956,12329
"60",82,"Emae","EMAE4",240155.5,"PN",627.37861554,25.364252886,14.934016658,18.545362368,17601,774.94412675,0,-1269.2721213,2.1821060683,5.6230465333,1.1597339251,10.949653362,2.5645306298,0.1373466219,23012
"61",97,"Eucatex","EUCA4",268055.7,"PN",249.31369228,12.482983965,5.1738240952,9.6506061933,226364,212.01091637,17.598852617,165.89468581,37.574786902,1.5631011421,0.18300940057,19.19024,0.76606014652,0.14989001063,0
"62",166,"Metalfrio","FRIO3",293896.8,"ON",-68.984702236,-25.515020064,-10.534230294,-11.435324755,84491,NA,142.95028247,-23.948236122,NA,114.38199737,0.033742041692,77.116225978,66.937832138,-0.11560796525,32479
"63",244,"Tegma","TGMA3",297009,"ON",1186.093787,14.985617676,8.9879234797,31.545973175,125097,NA,29.029885569,311.46925054,NA,7.7009056981,0.2947280696,30.368831328,0.057838266092,0.11177811369,168
"64",100,"Eztec","EZTC3",338211.8402,"ON",4884.2106578,13.393915448,10.98750356,12.943574899,160190,NA,1.7815205788,-42.946799596,NA,7.6055957504,0.74319290359,19.139232407,0.22804484835,0.22355570526,4333
