"","id","nome","classe","ticker","retorno_total","mkt_cap","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","size"
"121",198,"Pettenati","PN","PTNT4",407.45520832,116075.15969,3.5354427884,1.3772318831,5.7340601605,22059.371,NA,71.629475817,19.426936979,NA,1.0325955024,1.9964219766,23.991594045,0.13989200494,0.40979575472,0,"small"
"122",199,"Plascar Part","ON","PLAS3",-89.251089543,233002,5.6055174883,2.4763985769,5.6407240847,113572,123.4273814,63.688343106,21.017056845,114.51538214,58.68543855,0.15423556036,17.378361364,13.671036211,-0.16881666956,12329,"small"
"123",200,"Pomifrutas","ON","FRTA3",-94.858503514,1e+05,-6.0403760799,-3.1104702595,3.6714730426,10060.493,-205.18833684,77.782461061,11.860902328,117.55565697,45.837602058,0.081530692211,0,14.216395988,-0.77054182708,995.807,"small"
"124",201,"Portobello","ON","PTBL3",583.05448573,163779.27,-39.594102195,-2.0746887967,9.7216175965,132740,-5669.344817,2680.0041399,37.329321509,29.684045053,1.3551232239,0.44761739937,21.86262689,0.11516624774,0.19789156952,12010,"small"
"125",202,"Positivo Tec","ON","POSI3",74.213144358,593234.4,NA,11.718975396,NA,540898,NA,17.430777409,206.81345505,NA,4.3295193003,-0.063016429556,27.020080625,0.63291789422,0.05153210979,98123,"small"
"126",205,"Profarma","ON","PFRM3",44.700350215,189798.3,7.0987384258,3.4560915799,8.1376842183,220693,NA,41.571324662,49.069990027,NA,4.2615726302,-0.20720182125,19.132475282,0.50228615156,0.036347897673,22857,"small"
"127",209,"RaiaDrogasil","ON","RADL3",3689.0443459,590600,13.88608488,8.5834958964,21.658271822,294158,464.52868271,11.391083354,-56.300011802,258.59959579,27.683658224,0.78419368327,3.7265135973,0.087139807649,0.33462850205,3796,"small"
"128",210,"Randon Part","PN","RAPT4",431.17590754,978946.24,34.952438149,13.710891593,28.308668833,833690,208.66129747,60.67528496,148.69852655,208.00809024,2.1608918628,0.14647461224,17.298236551,0.17423758871,0.14132524665,10079,"large"
"129",211,"Recrusul","PN","RCSL4",-99.712778331,67642.08,NA,1.7225180081,NA,6833,104.79394183,-0.74722655176,49.192100539,9.3735517541,144.83601033,0.47748206387,0,155.66726417,-1.2498919062,0,"small"
"130",212,"Rede Energia","ON","REDE3",NA,1670925.2,10.770443659,2.4769685527,5.2801303202,1159838,200.20893787,177.75134106,15.775671933,94.442720323,2.2747305801,NA,6.1205984375,0.54810319313,NA,181511,"large"
"131",215,"Rni","ON","RDNI3",177.87566334,381313.75,15.256152802,7.9713671301,15.090868633,144504,NA,31.522119062,57.067056925,NA,2.972857729,0.11926809857,34.134153612,0.79525147237,0.12975249554,5145,"small"
"132",216,"Rossi Resid","ON","RSID3",-89.160528299,720748.43064,10.128512362,4.1401635085,5.8399968248,418770,1131.3459878,70.918996876,25.150779367,297.11901153,123.11001563,-0.3268961322,436.33783273,8.6541714773,-0.12792834758,56595,"large"
"133",217,"Rumo S.A.","ON","RAIL3",NA,6702784.24,6.9108624476,1.4911980912,9.5640272494,1101951,20361.486794,196.26050773,41.471050425,701.85354431,NA,NA,NA,1.5054519675,NA,298732,"large"
"134",218,"Sabesp","ON","SBSP3",818.38602118,6324727.36,0.64974408233,0.31605527067,4.6818937512,3519863,-92.371337316,71.901645542,18.732241249,21.676175255,10.895537998,0.52847374039,18.615967411,0.51163279581,0.43087003186,1157648,"large"
"135",219,"Sanepar","UNT N2","SAPR11",NA,627883.50845,5.5898563098,3.0392232887,5.2011757791,723460,-45.438323924,51.300068569,37.309009568,40.396561887,NA,NA,NA,0.033967027796,NA,487614,"large"
"136",220,"Sansuy","PNA","SNSY5",NA,16976.08,NA,-18.145077899,0.3076549996,68595,-2038.1222707,-39.602765177,2.2499089632,22.092173026,2.7357024987,1.7306727647,0,4.5456518053,NA,156867,"small"
"137",221,"Santanense","ON","CTSA3",569.02384253,75516.93,22.740210573,13.321677472,12.061335399,76566,136.71896638,26.844306903,91.311103438,50.297448874,0.41574643496,NA,134.68217992,1.2168041794,0.15010772935,1039,"small"
"138",222,"Santos Brp","ON","STBP3",NA,839393.28,4.2601571119,3.0147096262,8.9727148657,306610,NA,22.332686001,142.24804352,NA,NA,NA,NA,0.014087211049,NA,29194,"large"
"139",223,"Sao Martinho","ON","SMTO3",823.20882832,1033880.04,-6.6563509282,-3.2004583125,0.32263975663,89949,NA,73.244299065,1.2663450648,NA,5.2086400316,0.3897872006,11.001414,NA,0.35123185005,99391,"large"
"140",224,"Saraiva Livr","PN","SLED4",-79.687735306,492455.12,25.47141458,10.555930842,33.611527934,509233,331.46573301,19.092226955,436.93190454,161.32546545,8.7219250432,-0.40721488937,710.95193563,0.83554334563,-0.14737563538,25186,"small"
"141",225,"Schulz","PN","SHUL4",500.90731497,216843.37,-10.575974645,-2.8579481152,19.656418619,160433,-437.40740464,266.98489486,32.820591168,180.01101187,1.7701555338,0.70477809356,14.760433278,0.15054686419,0.19780199212,7770,"small"
"142",227,"Sid Nacional","ON","CSNA3",60.626764024,22001430,76.557268437,18.332122177,28.776600789,7026489,526.50769627,218.37128179,66.421750023,39.850600774,4.56971153,0.046528645405,48.500847249,1.1628078194,0.061012164552,2668079,"large"
"143",229,"SLC Agricola","ON","SLCE3",393.58884567,1367966.6,8.5282788021,2.8933367837,13.48778981,166341,NA,54.818814582,73.870468889,NA,5.5169480554,0.33868697849,20.287672285,0.21197384454,0.1814562599,0,"large"
"144",232,"Sondotecnica","PNA","SOND5",NA,88721.28,18.059258131,11.60207477,12.479525727,17705,380.45271423,0,-26.388549485,47.547019963,7.834436971,NA,126.63059335,1.5794396523,NA,5085,"small"
"145",233,"Springs","ON","SGPS3",-14.761136395,535803.31,-19.353746457,-11.356245787,-3.106232792,353008,NA,37.656250392,-40.898069119,NA,5.3592185292,0.036249112287,4.620251835,4.4935757614,-0.01226761056,0,"small"
"146",238,"Suzano S.A.","ON","SUZB3",NA,3705778.44,-10.276487958,-3.4827235511,6.4989159606,1416360,-164.6033824,204.32809095,17.181902317,116.02894527,NA,NA,NA,1.1124988906,NA,272719,"large"
"147",239,"Taesa","UNT N2","TAEE11",1413.1407317,1931153.2459,13.585147571,5.7975373643,11.429933789,425717,NA,113.11400445,28.391921428,NA,6.2242270088,0.62970988074,85.746872812,0.024129992154,1.0721402931,2026,"large"
"148",240,"Taurus Armas","PN","TASA4",-60.758941433,363070.74,18.957337843,6.7975375608,17.95660568,251464,58.552246258,43.549039465,158.34655411,155.02752553,10.527042467,-0.080368992803,62.805424843,0.77792356722,-0.067044645252,17731,"small"
"149",242,"Tecnisa","ON","TCSA3",-21.017995039,494479,10.736750814,5.7504577952,4.6290972515,172946,NA,32.633603941,30.490007796,NA,24.261978571,-0.3524659377,148.76416149,2.0290856811,-0.020685420336,7449,"small"
"150",243,"Tecnosolo","PN","TCNO4",-84.262497228,65600,6.3118687292,1.3628657132,9.2330085311,24484,2885.7142857,153.83673604,27.046040804,328.66726714,3.5607984714,0.60543256021,17.25,0.18441931847,-0.19107162799,6651,"small"
"151",244,"Tegma","ON","TGMA3",1186.093787,297009,14.985617676,8.9879234797,31.545973175,125097,NA,29.029885569,311.46925054,NA,7.7009056981,0.2947280696,30.368831328,0.057838266092,0.11177811369,168,"small"
"152",245,"Teka","PN","TEKA4",-80.242493827,15088.1735,NA,-40.54909954,-5.4474282183,57628,-18.180368392,-31.000508698,-10.950745688,-22.155292213,43.875001669,1.2588826628,0,100.62113906,-0.11080656668,62300,"small"
"153",246,"Tekno","PN","TKNO4",NA,161686.252,17.97484944,13.554775373,30.548814707,45823,18.48772428,4.2915162455,-25.001088822,89.989889905,13.614512166,NA,106.72273578,2.3275290681,NA,2774,"small"
"154",247,"Telebras","PN","TELB4",5.2450425414,220471.38883,NA,-7.4980832518,-15.483936096,0,-406.20423892,0,5.2814602384,59.344046612,43.564274999,0.32762543374,0,18.836929811,0.0028014166972,257447,"small"
"155",248,"Telef Brasil","PN","VIVT4",205.51167934,21237408.105,24.43121531,12.104691429,18.90206584,7252577,48.700848762,37.192002303,196.34987346,-0.65005802616,8.705444786,0.20414014385,88.059028211,0.82643726359,0.52271438195,699266,"large"
"156",249,"Tenda","ON","TEND3",NA,464756.32,-5.4114417954,-2.4746280836,-11.965638043,167396,NA,11.904145504,122.41582293,NA,NA,NA,NA,6.3942543289,NA,26840,"small"
"157",250,"Terra Santa","ON","TESA3",-79.002483949,75786.6,-63.627852923,-39.45393038,-17.187710753,-30013,NA,259.40009583,-51.040109778,NA,83.226376192,-0.43071185702,0,183.86447231,-0.16906022275,1485,"small"
"158",251,"Tex Renaux","PN","TXRX4",35.795749532,4853.44,NA,-45.275595054,1.9287671233,20404,-1002.925606,-53.247053081,0.24321653872,16.579771985,1.2481319433,NA,0,15.246236588,0.056857573716,22993,"small"
"159",252,"Tim Part S/A","ON","TIMP3",298.36004899,8479057.61,2.3243961733,1.1093466855,3.5450067316,6017168,-77.506233335,45.55855267,24.609751793,892.20009861,2.4971536127,0.19062556161,15.797845032,0.28138274676,0.32324543938,259795,"large"
"160",254,"Totvs","ON","TOTS3",986.43008309,1152312.48,13.832355406,4.7586686186,15.37886309,446618,NA,91.235554278,19.290409294,NA,3.0945242588,0.29246157155,8.7840467028,0.035959242236,0.17582091066,34519,"large"
"161",255,"Tran Paulist","PN","TRPL4",396.76679607,6463296.7033,NA,14.5877057,NA,1252615,NA,20.880482422,155.27144968,NA,4.6865342029,0.2968182926,56.451533535,0.51677061003,0.36114599243,209074,"large"
"162",257,"Trisul","ON","TRIS3",1656.1126577,185982.5,1.9700487969,0.96876475598,1.7186124885,106714,NA,75.666439312,14.490246949,NA,2.1191466437,0.91962675182,6.8948357673,0.078512058635,0.12260234995,24953,"small"
"163",258,"Triunfo Part","ON","TPIS3",132.10747977,136705,-11.246151211,-4.9684587014,1.4144443794,104694,-1570.9718718,109.13421935,4.136095343,378.84873745,2.4616563087,-0.11693188042,134.95514659,0.30242150369,0.022895669357,13840,"small"
"164",259,"Tupy","ON","TUPY3",692.645019,627958.05886,26.608338516,8.2687983645,11.779493009,423132,735.63243896,74.717064624,70.061445383,40.242569411,4.6414847619,0.58536180771,45.397082104,1.5082688684,0.3207391862,276153,"large"
"165",260,"Ultrapar","ON","UGPA3",NA,6804188.16,8.5159643591,4.0835537357,7.4596815867,2115656,-15.929495835,78.321587334,46.886725612,310.97239387,6.5041039299,0.16707277252,31.695533806,0.15614047315,NA,437518,"large"
"166",262,"Unipar","PNB","UNIP6",1414.6761282,690837.90912,-12.36249443,-7.6799579675,-0.94498570445,508,-250.49986288,87.975438964,-5.1560973538,102.5081382,10.671808888,0.55629312002,27.697290352,1.2179869076,0.080629119494,13315,"large"
"167",264,"Usiminas","PNA","USIM5",-19.204983136,12921845.045,25.736318227,11.746870102,26.492504913,6008143,142.05927707,44.267600032,202.58640802,77.103871799,5.9416238614,-0.052714972802,19.925902268,0.88641503993,-0.0099569287119,2085939,"large"
"168",265,"Vale","ON","VALE3",201.03251829,136641588.48,35.182057257,11.686891927,15.072710629,38385371,331.69712624,44.319620903,127.56561726,400.87138065,10.72900283,0.097578155762,28.157835032,1.3578533403,0.10689201004,8217286,"large"
