"","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes"
"77",222,"Santos Brp","STBP3",839393.28,"ON",NA,4.2601571119,3.0147096262,8.9727148657,306610,NA,22.332686001,142.24804352,NA,NA,NA,NA,0.014087211049,NA,29194
"78",192,"Paranapanema","PMAM3",812746.53,"ON",-27.969413623,NA,4.0131369912,16.326678332,179539,135.71701855,62.146100515,552.17735379,58.033901855,26.304417587,-0.19667857165,42.112730318,41.717071938,-0.050665530441,706808
"79",274,"Wilson Sons","WSON33",779026.8,"ON",499.94902296,NA,7.6935226517,NA,329466,NA,55.757335305,1936.8915246,NA,7.8845824213,0.36192412377,31.966874237,NA,0.25131626927,19759
"80",92,"Eqtl Para","EQPA3",772204.99,"ON",NA,3.4877433715,1.0401133293,4.3948725765,343195,-33.504353774,94.860312232,19.302441845,66.519679326,NA,NA,NA,1.3620284355,NA,27957
"81",7,"Alpargatas","ALPA4",737234.28,"PN",3232.3748177,19.52180239,9.5581717375,12.039371443,728831,130.51612748,36.170848414,96.358434126,98.38026755,5.2650048383,0.7752285246,7.115482953,0.064898199033,0.263395168,97776
"82",216,"Rossi Resid","RSID3",720748.43064,"ON",-89.160528299,10.128512362,4.1401635085,5.8399968248,418770,1131.3459878,70.918996876,25.150779367,297.11901153,123.11001563,-0.3268961322,436.33783273,8.6541714773,-0.12792834758,56595
"83",136,"JHSF Part","JHSF3",703426.88625,"ON",507.8675574,19.100639694,9.365925436,15.010069107,325830,NA,40.518844614,101.85795738,NA,1.7518610805,0.23212480375,18.504475883,0.15486608107,0.12756721031,2754
"84",262,"Unipar","UNIP6",690837.90912,"PNB",1414.6761282,-12.36249443,-7.6799579675,-0.94498570445,508,-250.49986288,87.975438964,-5.1560973538,102.5081382,10.671808888,0.55629312002,27.697290352,1.2179869076,0.080629119494,13315
"85",161,"Marcopolo","POMO4",690175.66,"PN",722.09325537,22.550567637,5.5600615184,10.534246207,474069,66.67384995,169.72363724,20.657647067,124.47114285,1.2387170435,0.29489501431,43.035,0.029195545955,0.14094056609,26845
"86",88,"Energisa Mt","ENMT3",634872.82,"ON",607.99849767,7.6047552541,2.6175402841,6.9604289639,326324,248.91134804,91.616169486,24.28493856,65.316150215,8.407752057,NA,13.629916785,0.80400601202,0.43750192657,3962
"87",259,"Tupy","TUPY3",627958.05886,"ON",692.645019,26.608338516,8.2687983645,11.779493009,423132,735.63243896,74.717064624,70.061445383,40.242569411,4.6414847619,0.58536180771,45.397082104,1.5082688684,0.3207391862,276153
"88",219,"Sanepar","SAPR11",627883.50845,"UNT N2",NA,5.5898563098,3.0392232887,5.2011757791,723460,-45.438323924,51.300068569,37.309009568,40.396561887,NA,NA,NA,0.033967027796,NA,487614
"89",267,"Viavarejo","VVAR3",625210.2,"ON",868.76132904,2.2834645669,0.68625114745,4.3226904693,999203,345.95311904,77.895401715,17.463803939,61.303509021,2.1060942592,0.92314748207,2.9089653079,0.068869048913,0.12961812972,112014
