"","X","id","nome","ticker","mkt_cap","classe","retorno_total","ROE","ROA","ROIC","lucro_bruto","LPA_growth","alav_BS","EBIT_DivLiq","ativo_growth","desvpad_ret","sharpe_economatica","div_yld","LPA_se","sharpe_calc","provisoes","portfolio","retorno_an"
"103",14,252,"Tim Part S/A","TIMP3",8479057.61,"ON",298.36004899,2.3243961733,1.1093466855,3.5450067316,6017168,-77.506233335,45.55855267,24.609751793,892.20009861,2.4971536127,0.19062556161,15.797845032,0.28138274676,0.32324543938,259795,"largefolio",14.8226531596357
"104",15,114,"Grupo Natura","NTCO3",8147925.36,"ON",497.68684951,76.404028785,24.486473177,57.057041072,2463350,614.5818426,68.730554406,584.50047478,192.3092757,5.2967247746,0.23119144939,13.967419235,0.18980366718,0.21479678029,51144,"largefolio",19.576921968261
"105",16,109,"Gerdau Met","GOAU4",7890854.56,"PN",-43.915415125,28.800039536,8.0502310965,16.318268508,10888899,199.53278552,99.785605171,42.403801282,318.37112602,7.9367640196,-0.21813167264,35.106382979,1.1976791479,-0.047644986329,467433,"largefolio",-5.61904858564235
"106",17,271,"Weg","WEGE3",7720334.1125,"ON",1125.6175059,30.771980139,9.9327290485,33.841441802,1568110,79.97456185,97.311700866,266.18057472,200.15083521,5.8792646147,0.61638068297,4.6961624499,0.05118793783,1.2252727185,0,"largefolio",28.4799904195965
"107",18,189,"P.Acucar-Cbd","PCAR3",7292719,"ON",NA,5.0443026053,1.917983275,5.325360242,4753613,12.747355521,61.9657035,39.651729786,51.500709627,23.235610466,NA,13.178982849,0.4044138418,NA,0,"largefolio",NA
"108",19,135,"JBS","JBSS3",6920993.9392,"ON",472.50696673,0.73884616999,0.14001932985,8.1046050015,2992502,NA,91.593934265,20.961207623,NA,5.0738322936,0.29711017475,6.246428827,0.16034295014,0.29409807047,942564,"largefolio",19.0633444537482
"109",20,260,"Ultrapar","UGPA3",6804188.16,"ON",NA,8.5159643591,4.0835537357,7.4596815867,2115656,-15.929495835,78.321587334,46.886725612,310.97239387,6.5041039299,0.16707277252,31.695533806,0.15614047315,NA,437518,"largefolio",NA
"110",21,217,"Rumo S.A.","RAIL3",6702784.24,"ON",NA,6.9108624476,1.4911980912,9.5640272494,1101951,20361.486794,196.26050773,41.471050425,701.85354431,NA,NA,NA,1.5054519675,NA,298732,"largefolio",NA
"111",22,27,"Bradespar","BRAP4",6621176.52,"PN",254.62043757,27.935385537,9.6525265813,13.678331519,2230339,691.87911588,49.836579157,204.75604716,103.98651398,7.6301419486,0.11062767665,33.779874514,1.4514575016,0.061853692215,372303,"largefolio",13.4949077349197
"112",23,255,"Tran Paulist","TRPL4",6463296.7033,"PN",396.76679607,NA,14.5877057,NA,1252615,NA,20.880482422,155.27144968,NA,4.6865342029,0.2968182926,56.451533535,0.51677061003,0.36114599243,209074,"largefolio",17.3857167256035
"113",24,83,"Embraer","EMBR3",6375489.0376,"ON",162.70512665,8.2945996046,2.0840013824,10.907178353,2407056,-28.852221059,70.095557159,-135.27349664,67.557039398,5.3684961363,0.15019526251,32.173058424,0.40000556907,0.24010597516,1127639,"largefolio",10.1404520956371
"114",25,218,"Sabesp","SBSP3",6324727.36,"ON",818.38602118,0.64974408233,0.31605527067,4.6818937512,3519863,-92.371337316,71.901645542,18.732241249,21.676175255,10.895537998,0.52847374039,18.615967411,0.51163279581,0.43087003186,1157648,"largefolio",24.8252735497307
"115",26,58,"Copel","CPLE6",6277666.84,"PNB",394.30086323,14.687419319,8.2755692669,10.565620352,1985336,530.33943858,22.485358728,-1464.4474969,44.29104545,7.614903175,0.21825635422,28.677524402,1.6468732097,0.19957726122,752753,"largefolio",17.3273162972226
"116",27,30,"BRF SA","BRFS3",6142131.3593,"ON",166.37733909,1.6973762073,0.48805000772,7.5975239236,2758879,-71.140537273,130.52026676,13.175504868,303.72489032,14.473729157,0.040804797546,26.471515597,0.46348950887,0.19212966895,290740,"largefolio",10.2934514944605
